"Kerugian terjadi pada 78 K/L ","-","472","589,54"
"Kelebihan pembayaran selain kekurangan volume pekerjaan dan/atau barang terjadi pada 47 K/L","-","102","144,10"
"Kelebihan pembayaran pekerjaan pada Kementerian PUPR, antara lain atas: Pekerjaan jasa konsultan yang tidak layak dibayarkan, di antaranya karena konsultan merupakan PNS aktif dan terdapat tumpang tindih masa pelaksanaan pekerjaan pada kegiatan pengembangan pusat-pusat pertumbuhan di Sulawesi sebagai pusat industri berbasis logistik, maritim, dan lumbung pangan nasional, serta kegiatan pengendalian infrastruktur di wilayah Jawa Bagian Utara. Pembangunan Sistem Penyediaan Air Minum (SPAM) Kawasan Koya Barat dan Koya Timur Distrik Muaratami Kota Jayapura karena ketidaksesuaian harga satuan yang digunakan. Pekerjaan Multi Years Contract (on going project), di antaranya karena penggunaan harga satuan yang berbeda untuk jenis pekerjaan yang sama, duplikasi pembebanan biaya operasional, terdapat item pekerjaan yang tidak layak dibayarkan terpisah karena menjadi tanggung jawab penyedia.","Kementerian PUPR","3","48,91"
"Kelebihan pembayaran pekerjaan pada Kementerian Perhubungan, antara lain atas: Biaya perawatan dan pengoperasian prasarana perkeretaapian milik negara. Belanja subsidi angkutan perintis darat, laut, dan udara di antaranya karena kesalahan penetapan jumlah frekuensi ritase, terdapat biaya-biaya yang tidak dapat dikompensasi, dan perhitungan waktu tempuh tidak sesuai dengan ketentuan. Kelebihan pembayaran atas tenaga ahli yang tidak mengikuti kegiatan penelitian/studi sesuai dengan kontrak.","Kementerian Perhubungan","4","36,63"
"Permasalahan kelebihan pembayaran selain kekurangan volume pekerjaan juga terjadi pada 45 K/L lainnya.","-","95","58,56"
"Spesifikasi barang/jasa yang diterima tidak sesuai dengan kontrak terjadi pada 18 K/L. ","-","25","130,07"
"Spesifikasi barang/jasa yang diterima tidak sesuai dengan kontrak pada Kementerian Pertahanan, antara lain atas: Pengadaan pesawat, komponen pesawat, peralatan militer, dan material kesehatan yang tidak memenuhi syarat kedaluwarsa. Pekerjaan pemasangan pompa dan instalasi hydrant Lapangan Perkantoran Pusdiklat Bela Negara Kemhan Rumpin Bogor-UO Kemhan dan pekerjaan pelapisan jalan hotmix Sesko TNI-UO Mabes TNI.","Kementerian Pertahanan","2","69,29"
"Pengadaan pupuk NPK oleh PT PG tidak memenuhi komposisi kandungan pupuk sesuai dengan kontrak pada Kementerian Pertanian.","Kementerian Pertanian","1","1,94"
"Permasalahan spesifikasi barang/jasa yang diterima tidak sesuai dengan kontrak juga terjadi pada 16 K/L lainnya.","-","22","58,84"
"Permasalahan kerugian lainnya juga terjadi pada 74 K/L, antara lain kekurangan volume pekerjaan dan/atau barang, belanja tidak sesuai atau melebihi ketentuan, dan pemahalan harga (mark up).","-","345","315,37"
"Potensi kerugian terjadi pada 26 K/L ","-","48","1.886,47"
"Kelebihan pembayaran tetapi belum dilakukan pelunasan pembayaran kepada rekanan terjadi pada 12 K/L.","-","16","128,98"
"Kelebihan pembayaran tetapi belum dilakukan pelunasan pembayaran kepada rekanan pada Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Sabang, yaitu atas: Pembangunan dan revitalisasi Pelabuhan Penyeberangan Balohan. Pekerjaan jasa konsultansi manajemen konstruksi pembangunan dan revitalisasi Pelabuhan Penyeberangan Nasional Balohan.","Badan Pengusahaan Kawasan Perdagangan Bebas","2","1,80"
"Kelebihan pembayaran tetapi belum dilakukan pelunasan pembayaran kepada rekanan pada Kementerian Keuangan, yaitu atas: Pekerjaan penambahan sistem mekanikal elektrikal serta perbaikan ruang pimpinan KPDJP. Pekerjaan konstruksi pembangunan gedung Kantor Wilayah DJP Jawa Barat III, KPP Madya Bogor, dan KPP Pratama Bogor.","Kementerian Keuangan","1","1,31"
"Permasalahan kelebihan pembayaran tetapi belum dilakukan pelunasan pembayaran kepada rekanan juga terjadi pada 10 K/L lainnya.","-","13","125,87"
"Piutang atau dana bergulir yang berpotensi tidak tertagih terjadi pada 5 K/L. ","-","5","1.664,66"
"Penanganan Kementerian LHK atas Piutang PNBP Penggunaan Kawasan Hutan belum optimal dan terdapat piutang macet pada 129 perusahaan minerba.","-","1","1.664,63"
"Piutang PNBP pada Lembaga Administrasi Negara berpotensi tidak dapat ditagih, berupa piutang kepada mahasiswa yang tidak menyelesaikan pembayaran kewajibannya pada STIA LAN Bandung.","Lembaga Administrasi Negara","1","0,03"
"Permasalahan piutang atau dana bergulir yang berpotensi tidak tertagih juga terjadi pada 3 K/L lainnya. 3 - Permasalahan potensi kerugian lainnya juga terjadi pada 18 K/L, antara lain terdapat aset tetap tidak diketahui keberadaannya dan aset dikuasai pihak lain.","-","27","92.83"
"Kekurangan penerimaan terjadi pada 51 K/L ","-","148","1.774,08"
"Denda keterlambatan pekerjaan belum dipungut/diterima terjadi pada 37 K/L. ","-","58","80,30"
"Denda keterlambatan belum dipungut/diterima pada Kementerian Kesehatan, antara lain atas: Pekerjaan renovasi dan revitalisasi RSCM, pekerjaan pembangunan Gedung Pelayanan Terpadu di RSK dr. Rivai Abdullah, dan pekerjaan konstruksi Gedung Puslitbang UKM. Pekerjaan pengadaan alat kesehatan pada RSUP Dr. J. Leimena, Rumah Sakit Hasan Sadikin Bandung, dan Rumah Sakit Dokter Sardjito Yogyakarta.","Kementerian Kesehatan","2","5,85"
"Denda keterlambatan belum dipungut/diterima pada Kepolisian Negara Republik Indonesia, antara lain atas: Pekerjaan pengadaan peralatan dan mesin. Pekerjaan pembangunan renovasi Gedung Utama Polres Kendari, pembangunan Indonesia Safety Driving Centre (ISDC) Pusdiklantas Polri, pembangunan lahan parkir Korlantas, dan pembangunan gedung parkir Barang Bukti Ranmor Polda Metro Jaya.","Kepolisian Negara Republik Indonesia","2","3,66"
"Permasalahan denda keterlambatan pekerjaan belum dipungut/diterima juga terjadi pada 35 K/L lainnya.","-","54","70,79"
"Penerimaan selain denda keterlambatan belum dipungut/diterima terjadi pada 35 K/L. ","-","86","1.692,97"
"Pengelolaan pendapatan dan belanja pada Kementerian Sosial tidak memadai atau tidak sesuai dengan ketentuan, antara lain terkait: Pendapatan atas perizinan yang dikeluarkan kepada penyelenggara untuk melaksanakan undian atau promosi penyelenggaraan undian. Dana Bantuan Pangan Non Tunai pada rekening escrow yang masih berada pada Bank Penyalur, serta dana yang berasal dari time out transaction atas Keluarga Penerima Manfaat (KPM) BPNT yang masih mengendap di rekening Bank Penyalur. Dana bansos Program Keluarga Harapan (PKH) yang berasal dari saldo KPM yang tidak bertransaksi. Dana bansos santunan ahli waris korban bencana alam Provinsi Sulawesi Tengah dan Provinsi NTB yang tidak tersalur.","Kementerian Sosial","9","1.515,90"
"Kekurangan penerimaan pada Kementerian Agama, antara lain atas: PNBP pada 7 satker yang belum disetorkan. Dana Program Beasiswa Dosen S3 dalam negeri (5.000 Doktor) dan Program Pendidikan Profesi Guru pada Perguruan Tinggi Keagamaan Islam Negeri yang disimpan pada rekening pribadi. Pinjaman dana kepada pihak ketiga pada Universitas Islam Negeri Sumatera Utara untuk pembangunan ma’had.","Kementerian Agama","6","54,80"
"Permasalahan penerimaan selain denda keterlambatan belum dipungut/diterima juga terjadi pada 33 K/L lainnya.","-","71","122,27"
"Permasalahan kekurangan penerimaan lainnya juga terjadi pada 4 K/L berupa penggunaan langsung penerimaan negara dan pengenaan tarif pajak/PNBP lebih rendah dari ketentuan.","-","4","0,81"
"Jumlah 1.","-","094","4.250,09"
